sample	non_sig	sig	total	Tissue_Color_Code	Tissue	Abbreviation
GTOP-CB271-1601	1688	145	1833	F8D895	Stomach	STMACH
GTOP-CB271-1710	2000	189	2189	AF8C5C	Esophagus	ESP
GTOP-CB271-4022	1927	218	2145	BA91BC	Heart_Mitral_Valve	HEARTMV
GTOP-CB271-4155	2239	230	2469	758E90	Aortic_Arch	ARTARCH
GTOP-CB281-3082	2101	186	2287	768454	Spleen	SPLEEN
GTOP-CC131-0262	2298	157	2455	3A71A4	Skin	SKIN
GTOP-CC131-3082	1902	162	2064	768454	Spleen	SPLEEN
GTOP-CC201-3170	2055	108	2163	ACAA95	Lymph_node	LYMPHN
GTOP-CC201-5156	1952	131	2083	76ADB8	Lung_Apex	LUNGA
GTOP-CC241-1470	2498	186	2684	535426	Small_Intestine	SNTTRM
GTOP-CC241-1584	2312	205	2517	E7C08D	Colon	COLON
GTOP-CC241-1601	2089	153	2242	F8D895	Stomach	STMACH
GTOP-CC241-1710	2163	157	2320	AF8C5C	Esophagus	ESP
GTOP-CC241-3082	2103	160	2263	768454	Spleen	SPLEEN
GTOP-CC241-4002	1936	202	2138	9C5CA1	Heart_Left_Ventricle	HEARTLV
GTOP-CC241-4018	1932	266	2198	8466A6	Heart_Right_Atrium	HEARTRA
GTOP-CC241-4019	2311	391	2702	6F1F71	Heart_Left_Atrium	HEARTLA
GTOP-CC241-4022	2372	187	2559	BA91BC	Heart_Mitral_Valve	HEARTMV
GTOP-CC241-4023	2303	186	2489	9F98BF	Heart_Tricuspid_Valve	HEARTTV
GTOP-CC241-5156	2468	263	2731	76ADB8	Lung_Apex	LUNGA
GTOP-CC241-6235	2089	218	2307	DF898D	Ovary	OVARY
GTOP-CC241-6246	2308	162	2470	E35656	Uterus	UTERUS
GTOP-CC311-1470	2271	224	2495	535426	Small_Intestine	SNTTRM
GTOP-CC311-1584	2070	187	2257	E7C08D	Colon	COLON
GTOP-CC311-1601	1997	176	2173	F8D895	Stomach	STMACH
GTOP-CC311-3082	1942	172	2114	768454	Spleen	SPLEEN
GTOP-CC311-4003	2526	251	2777	A780A0	Heart_Right_Ventricle	HEARTRV
GTOP-CC311-4018	1877	313	2190	8466A6	Heart_Right_Atrium	HEARTRA
GTOP-CC311-4019	1663	255	1918	6F1F71	Heart_Left_Atrium	HEARTLA
GTOP-CC311-5032	1950	176	2126	AECBD1	Lung_Base	LUNGB
GTOP-CC311-5156	2180	187	2367	76ADB8	Lung_Apex	LUNGA
GTOP-CD021-4002	1621	132	1753	9C5CA1	Heart_Left_Ventricle	HEARTLV
GTOP-CD021-4003	1931	241	2172	A780A0	Heart_Right_Ventricle	HEARTRV
GTOP-CE141-1601	1732	149	1881	F8D895	Stomach	STMACH
GTOP-CE161-0262	1990	202	2192	3A71A4	Skin	SKIN
GTOP-CF011-1108	1535	119	1654	AB5F2C	Pancreas_Head	PNCREASH
GTOP-CF201-2099	2040	230	2270	A8D650	Adrenal_Gland	ADRNLG
GTOP-CF241-1236	1273	95	1368	902222	Pancreas_Body	PNCREASB
GTOP-CF242-0087	1931	217	2148	7080BD	Muscle	MUSCLE
GTOP-CF242-0378	1357	153	1510	CC418D	Whole_Blood	WHLBLD
GTOP-CF242-2099	2313	199	2512	A8D650	Adrenal_Gland	ADRNLG
GTOP-CF301-0262	2164	239	2403	3A71A4	Skin	SKIN
GTOP-CF301-4151	1939	165	2104	cbc5d3	Abdominal_Aorta	ABDAORT
GTOP-CG041-4018	2340	357	2697	8466A6	Heart_Right_Atrium	HEARTRA
GTOP-CG041-5156	2265	195	2460	76ADB8	Lung_Apex	LUNGA
GTOP-CG041-6145	2244	239	2483	0CE3C3	Prostate	PROSTATE
GTOP-CG071-6145	2409	186	2595	0CE3C3	Prostate	PROSTATE
GTOP-CG091-0262	2579	236	2815	3A71A4	Skin	SKIN
GTOP-CG171-1108	1280	108	1388	AB5F2C	Pancreas_Head	PNCREASH
GTOP-CG261-4151	1921	382	2303	cbc5d3	Abdominal_Aorta	ABDAORT
GTOP-CH091-3082	1966	234	2200	768454	Spleen	SPLEEN
GTOP-CH101-1236	1235	128	1363	902222	Pancreas_Body	PNCREASB
GTOP-CI161-0160	2004	238	2242	E59525	Adipose	ADP
GTOP-CI161-5415	1890	237	2127	00CED1	Diaphragm	DIAPH
GTOP-CI201-1053	1307	128	1435	69AE6A	Liver	LIVER
GTOP-CI201-5415	1627	146	1773	00CED1	Diaphragm	DIAPH
GTOP-CI221-3082	1893	197	2090	768454	Spleen	SPLEEN
GTOP-CI221-5415	1666	102	1768	00CED1	Diaphragm	DIAPH
GTOP-CI221-6145	2097	120	2217	0CE3C3	Prostate	PROSTATE
GTOP-CI222-5415	1723	126	1849	00CED1	Diaphragm	DIAPH
GTOP-CI231-0160	2299	200	2499	E59525	Adipose	ADP
GTOP-CI251-5415	1848	188	2036	00CED1	Diaphragm	DIAPH
GTOP-CI291-5415	1902	171	2073	00CED1	Diaphragm	DIAPH
GTOP-CI301-5415	1735	167	1902	00CED1	Diaphragm	DIAPH
GTOP-CJ092-5415	1681	160	1841	00CED1	Diaphragm	DIAPH
GTOP-CJ092-6246	2320	163	2483	E35656	Uterus	UTERUS
GTOP-CJ151-5415	1468	163	1631	00CED1	Diaphragm	DIAPH
GTOP-CJ151-6145	2196	162	2358	0CE3C3	Prostate	PROSTATE
GTOP-CK031-5415	1836	168	2004	00CED1	Diaphragm	DIAPH
