Major_Type	tec	sampleID	Total_count
STR	SRS	GTOP-BC191	218517
STR	SRS	GTOP-BD011	217138
STR	SRS	GTOP-BD201	210913
STR	SRS	GTOP-BE141	238972
STR	SRS	GTOP-BE161	216317
STR	SRS	GTOP-BE181	246073
STR	SRS	GTOP-BE221	215937
STR	SRS	GTOP-BF221	210811
STR	SRS	GTOP-BF251	216360
STR	SRS	GTOP-BF271	212385
STR	SRS	GTOP-BG091	225103
STR	SRS	GTOP-BG171	219741
STR	SRS	GTOP-BG291	221305
STR	SRS	GTOP-BG311	216560
STR	SRS	GTOP-BH071	222680
STR	SRS	GTOP-BH101	220881
STR	SRS	GTOP-BH131	217275
STR	SRS	GTOP-BH171	233556
STR	SRS	GTOP-BH271	192569
STR	SRS	GTOP-BI071	228970
STR	SRS	GTOP-BI281	270647
STR	SRS	GTOP-BJ111	227438
STR	SRS	GTOP-BJ131	226878
STR	SRS	GTOP-BJ141	232092
STR	SRS	GTOP-BJ171	227308
STR	SRS	GTOP-BJ191	245377
STR	SRS	GTOP-BJ201	136789
STR	SRS	GTOP-BK021	222474
STR	SRS	GTOP-BK071	227160
STR	SRS	GTOP-BK161	281065
STR	SRS	GTOP-BK191	258127
STR	SRS	GTOP-BK251	158512
STR	SRS	GTOP-BK261	242905
STR	SRS	GTOP-BK281	235242
STR	SRS	GTOP-BL021	259176
STR	SRS	GTOP-BL091	225501
STR	SRS	GTOP-BL151	237180
STR	SRS	GTOP-BL161	254909
STR	SRS	GTOP-BL221	207776
STR	SRS	GTOP-BL261	221016
STR	SRS	GTOP-BL271	241705
STR	SRS	GTOP-CA031	137261
STR	SRS	GTOP-CA081	119898
STR	SRS	GTOP-CA121	152308
STR	SRS	GTOP-CA161	165495
STR	SRS	GTOP-CA171	206747
STR	SRS	GTOP-CA181	141423
STR	SRS	GTOP-CA231	190835
STR	SRS	GTOP-CA241	213845
STR	SRS	GTOP-CB051	208943
STR	SRS	GTOP-CB052	192874
STR	SRS	GTOP-CB121	220450
STR	SRS	GTOP-CB151	196807
STR	SRS	GTOP-CB161	214513
STR	SRS	GTOP-CB261	217558
STR	SRS	GTOP-CB271	195682
STR	SRS	GTOP-CB281	205128
STR	SRS	GTOP-CC031	207499
STR	SRS	GTOP-CC041	208353
STR	SRS	GTOP-CC061	213630
STR	SRS	GTOP-CC121	207349
STR	SRS	GTOP-CC131	195788
STR	SRS	GTOP-CC141	219161
STR	SRS	GTOP-CC201	212101
STR	SRS	GTOP-CC231	169219
STR	SRS	GTOP-CC241	198545
STR	SRS	GTOP-CC251	225115
STR	SRS	GTOP-CC291	193676
STR	SRS	GTOP-CC311	190287
STR	SRS	GTOP-CD021	212108
STR	SRS	GTOP-CD121	206016
STR	SRS	GTOP-CE111	215735
STR	SRS	GTOP-CE131	213869
STR	SRS	GTOP-CE141	204877
STR	SRS	GTOP-CE161	207772
STR	SRS	GTOP-CF011	195752
STR	SRS	GTOP-CF051	211031
STR	SRS	GTOP-CF121	207675
STR	SRS	GTOP-CF201	215319
STR	SRS	GTOP-CF221	204303
STR	SRS	GTOP-CF241	207926
STR	SRS	GTOP-CF242	214665
STR	SRS	GTOP-CF301	208256
STR	SRS	GTOP-CG041	217211
STR	SRS	GTOP-CG061	203151
STR	SRS	GTOP-CG071	211577
STR	SRS	GTOP-CG091	217086
STR	SRS	GTOP-CG111	212379
STR	SRS	GTOP-CG171	205506
STR	SRS	GTOP-CG172	213456
STR	SRS	GTOP-CG191	211912
STR	SRS	GTOP-CG211	205250
STR	SRS	GTOP-CG261	199802
STR	SRS	GTOP-CG271	182106
STR	SRS	GTOP-CH041	214478
STR	SRS	GTOP-CH081	197231
STR	SRS	GTOP-CH082	203784
STR	SRS	GTOP-CH091	227544
STR	SRS	GTOP-CH101	205127
STR	SRS	GTOP-CH102	182700
STR	SRS	GTOP-CI161	219448
STR	SRS	GTOP-CI201	192670
STR	SRS	GTOP-CI211	190249
STR	SRS	GTOP-CI221	195814
STR	SRS	GTOP-CI222	205517
STR	SRS	GTOP-CI231	220723
STR	SRS	GTOP-CI251	202572
STR	SRS	GTOP-CI291	207232
STR	SRS	GTOP-CI301	212995
STR	SRS	GTOP-CJ091	192578
STR	SRS	GTOP-CJ092	195299
STR	SRS	GTOP-CJ093	210335
STR	SRS	GTOP-CJ111	178467
STR	SRS	GTOP-CJ151	190774
STR	SRS	GTOP-CJ231	192972
STR	SRS	GTOP-CK031	205791
STR	SRS	GTOP-CL111	176267
STR	SRS	GTOP-CL141	178468
STR	SRS	GTOP-CL161	181560
STR	SRS	GTOP-CL171	166314
SV	LRS	GTOP-AJ141	21952
SV	LRS	GTOP-AJ142	21947
SV	LRS	GTOP-AJ211	20971
SV	LRS	GTOP-AJ221	21985
SV	LRS	GTOP-AJ231	22006
SV	LRS	GTOP-AK091	22046
SV	LRS	GTOP-AK092	21981
SV	LRS	GTOP-AK111	21914
SV	LRS	GTOP-AK112	22021
SV	LRS	GTOP-AK221	22040
SV	LRS	GTOP-AK231	21932
SV	LRS	GTOP-AK281	20980
SV	LRS	GTOP-AL091	22132
SV	LRS	GTOP-AL121	21634
SV	LRS	GTOP-AL271	21960
SV	LRS	GTOP-BA041	22002
SV	LRS	GTOP-BA081	22171
SV	LRS	GTOP-BA082	22042
SV	LRS	GTOP-BA091	22067
SV	LRS	GTOP-BA101	21800
SV	LRS	GTOP-BA102	22065
SV	LRS	GTOP-BA131	22236
SV	LRS	GTOP-BA132	22269
SV	LRS	GTOP-BA181	21818
SV	LRS	GTOP-BA191	21954
SV	LRS	GTOP-BA211	22091
SV	LRS	GTOP-BA231	21921
SV	LRS	GTOP-BA232	21684
SV	LRS	GTOP-BA251	21944
SV	LRS	GTOP-BB011	22299
SV	LRS	GTOP-BB201	22114
SV	LRS	GTOP-BB202	22047
SV	LRS	GTOP-BB211	22357
SV	LRS	GTOP-BB251	22230
SV	LRS	GTOP-BB261	21819
SV	LRS	GTOP-BC041	21925
SV	LRS	GTOP-BC061	21587
SV	LRS	GTOP-BC161	22180
SV	LRS	GTOP-BC171	22097
SV	LRS	GTOP-BC181	21927
SV	LRS	GTOP-BC191	22048
SV	LRS	GTOP-BD011	22046
SV	LRS	GTOP-BD201	22138
SV	LRS	GTOP-BE141	22117
SV	LRS	GTOP-BE161	21998
SV	LRS	GTOP-BE181	22069
SV	LRS	GTOP-BE221	22039
SV	LRS	GTOP-BF221	22305
SV	LRS	GTOP-BF251	21937
SV	LRS	GTOP-BF271	22049
SV	LRS	GTOP-BG091	22232
SV	LRS	GTOP-BG171	22297
SV	LRS	GTOP-BG291	22035
SV	LRS	GTOP-BG311	22097
SV	LRS	GTOP-BH071	22216
SV	LRS	GTOP-BH101	21735
SV	LRS	GTOP-BH131	21862
SV	LRS	GTOP-BH171	22097
SV	LRS	GTOP-BH271	22091
SV	LRS	GTOP-BI071	21984
SV	LRS	GTOP-BI281	22016
SV	LRS	GTOP-BJ111	21998
SV	LRS	GTOP-BJ131	22149
SV	LRS	GTOP-BJ141	22125
SV	LRS	GTOP-BJ171	22203
SV	LRS	GTOP-BJ191	22181
SV	LRS	GTOP-BJ201	22144
SV	LRS	GTOP-BK021	22068
SV	LRS	GTOP-BK071	22004
SV	LRS	GTOP-BK161	21993
SV	LRS	GTOP-BK191	22031
SV	LRS	GTOP-BK251	21960
SV	LRS	GTOP-BK261	22178
SV	LRS	GTOP-BK281	21823
SV	LRS	GTOP-BL021	21918
SV	LRS	GTOP-BL091	22094
SV	LRS	GTOP-BL151	22011
SV	LRS	GTOP-BL161	22156
SV	LRS	GTOP-BL221	22006
SV	LRS	GTOP-BL261	20865
SV	LRS	GTOP-BL271	22150
SV	LRS	GTOP-CA031	22031
SV	LRS	GTOP-CA081	22040
SV	LRS	GTOP-CA121	20799
SV	LRS	GTOP-CA161	21056
SV	LRS	GTOP-CA171	21425
SV	LRS	GTOP-CA181	20795
SV	LRS	GTOP-CA231	22250
